sizegroup,width_min_cm,width_max_cm,color,threshold_cm,low_prefix,high_prefix,special_prefix,special_exact_heights_cm
0,0.0,10.5,gk,17.5,dgk,ogk,lgk,20.5;21;21.5
1,10.6,11.0,ak,18.0,dak,oak,lak,20.5;21;21.5
2,11.1,11.4,kb,18.0,dkb,okb,lkb,20.5;21;21;21.5
3,11.5,11.5,b,18.0,db,ob,lb,20.5;21;21.5
4,11.6,11.9,kg,19.0,dkg,okg,lkg,20.5;21;21.5
5,12.0,12.0,s,18.5,ds,os,ls,20.5;21;21.5
6,12.1,12.4,ki,19.0,dki,oki,lki,20.5;21;21.5
7,12.5,12.5,"i, ik",19.0,"di, ik","oi, ik","li, ik",20.5;21;21.5
8,12.6,13.0,k,20.0,dk,ok,lk,20.5;21;21.5
9,13.1,13.4,kn,21.0,dkn,okn,lkn,20.5;21;21.5
10,13.5,13.5,n,21.0,dn,on,ln,20.5;21;21.5
11,13.6,14.0,nk,21.0,dnk,onk,lnk,20.5;21;21.5
12,14.1,14.5,p,21.0,dp,op,lp,20.5;21;21.5
13,14.6,15.0,g,21.0,dg,og,lg,20.5;21;21.5
14,15.1,15.5,pk,22.0,dpk,opk,lpk,20.5;21;21.5
15,15.6,17.4,kt,23.0,dkt,okt,lkt,20.5;21;21.5
16,17.5,17.5,t,23.0,dt,ot,lt,20.5;21;21.5
17,17.6,22.5,tk,23.0,dtk,otk,ltk,20.5;21;21.5
18,22.6,24.0,u,28.0,du,ou,lu,20.5;21;21.5
19,24.1,24.5,uk,29.0,duk,ouk,luk,20.5;21;21.5
20,24.6,40.0,yk,32.0,dyk,oyk,lyk,20.5;21;21.5
